exposure_type,exposure_label,outcome,outcome_label,outcome_type,effect_label,n,effect,effect_ci_lower,effect_ci_upper,p_unadj,p_bonf,metric_exposed,metric_unexposed,metric_diff,metric_diff_ci_lower,metric_diff_ci_upper,adjusted_model_run,n_adjustment_covariates,adjustment_covariates,effect_adj,effect_adj_ci_lower,effect_adj_ci_upper,p_unadj_adj_model,ratio,match_type
stroke,Stroke vs No Stroke,public_coverage_any,Any public/government insurance (among insured),binary,OR,1898,1.6089496632915878,1.1450345059710072,2.2608218403085063,0.0100891371788916,0.0706239602522412,0.8106406279467863,0.7268296627011548,0.08381096524563147,0.02867855648959139,0.13894337400167156,FALSE,0,,NA,NA,NA,NA,4,stroke_1_4
stroke,Stroke vs No Stroke,rx_coverage,Plan covers prescriptions,binary,OR,1886,1.2975186897095703,0.7495861393326374,2.2459790300345235,0.35936232546267033,1,0.9405724744816905,0.9242313256974117,0.016341148784278725,-0.017757336154751974,0.050439633723309424,FALSE,0,,NA,NA,NA,NA,4,stroke_1_4
stroke,Stroke vs No Stroke,insurance_gap_past_year,Any time without insurance in past year,binary,OR,1911,1.3398881464352552,0.6737732270285334,2.6645467242373457,0.41055079180691645,1,0.034856312855527836,0.02624641521602173,0.008609897639506106,-0.015698962708584743,0.032918757987596955,FALSE,0,,NA,NA,NA,NA,4,stroke_1_4
stroke,Stroke vs No Stroke,mental_health_visit,Seen a mental health professional in the past year,binary,OR,2154,2.9828783434563593,2.051103428597377,4.3379398073287065,2.7304488547529544e-6,1.911314198327068e-5,0.15276368715537372,0.05700208755337806,0.09576159960199566,0.050567451796355335,0.140955747407636,FALSE,0,,NA,NA,NA,NA,4,stroke_1_4
stroke,Stroke vs No Stroke,any_overnight_hospital,Any overnight hospital stay in the past year,binary,OR,2155,2.346000637062824,1.7231425911670344,3.194000901209033,6.505621862015641e-6,4.5539353034109486e-5,0.3244712450640936,0.16994588600554253,0.15452535905855105,0.09300816863855829,0.21604254947854382,FALSE,0,,NA,NA,NA,NA,4,stroke_1_4
stroke,Stroke vs No Stroke,source_office_clinic,Usual source of care is office/clinic (vs other settings),binary,OR,2026,0.5434853336058396,0.3168470904263251,0.932236137776159,0.03424896939968741,0.23974278579781189,0.9347491610329917,0.9634483260317187,-0.028699164998727045,-0.054945528829071284,-0.002452801168382805,FALSE,0,,NA,NA,NA,NA,4,stroke_1_4
stroke,Stroke vs No Stroke,overnight_hospital_stays,Number of overnight hospital stays in the past year,count,RR,2155,2.3612111902114283,1.7691551485173749,3.1514015542684417,1.972020993682719e-6,1.3804146955779033e-5,0.5822063363979023,0.24657105591040762,0.3356352804874947,0.18814630507575958,0.4831242558992298,FALSE,0,,NA,NA,NA,NA,4,stroke_1_4
tbi,TBI vs No TBI,public_coverage_any,Any public/government insurance (among insured),binary,OR,3937,1.1761340914524763,0.9850954325129,1.4042207033160998,0.08258143236765793,0.5780700265736055,0.4471506967492711,0.407472785782023,0.0396779109672481,-0.013192752453558061,0.09254857438805425,FALSE,0,,NA,NA,NA,NA,4,tbi_1_4_revised
tbi,TBI vs No TBI,rx_coverage,Plan covers prescriptions,binary,OR,3909,0.7173172109609475,0.5192861042985797,0.9908679952755666,0.052574747131250675,0.36802322991875475,0.9287344132294023,0.9478289533799542,-0.019094540150551897,-0.04321207634683956,0.005022996045735761,FALSE,0,,NA,NA,NA,NA,4,tbi_1_4_revised
tbi,TBI vs No TBI,insurance_gap_past_year,Any time without insurance in past year,binary,OR,3953,0.8318691100731179,0.5000106780327112,1.3839828761588358,0.4837625870271657,1,0.032386571846554864,0.038679110232351196,-0.006292538385796333,-0.021686082148446875,0.009101005376854212,FALSE,0,,NA,NA,NA,NA,4,tbi_1_4_revised
tbi,TBI vs No TBI,mental_health_visit,Seen a mental health professional in the past year,binary,OR,4737,1.4660614416842788,1.0739717814673955,2.001296670808885,0.022105257340131645,0.15473680138092152,0.11011034877453137,0.07783062296254001,0.03227972581199136,-0.0016190917459056459,0.06617854336988836,FALSE,0,,NA,NA,NA,NA,4,tbi_1_4_revised
tbi,TBI vs No TBI,any_overnight_hospital,Any overnight hospital stay in the past year,binary,OR,4738,1.1470689855356555,0.9035305883717442,1.4562509277621103,0.2684483027083363,1,0.13295721585967163,0.11792056314252478,0.015036652717146853,-0.014002040863250065,0.04407534629754377,FALSE,0,,NA,NA,NA,NA,4,tbi_1_4_revised
tbi,TBI vs No TBI,source_office_clinic,Usual source of care is office/clinic (vs other settings),binary,OR,4244,0.7627708677059852,0.475696398123486,1.223089766742163,0.269610525059604,1,0.9509828727101493,0.9621712799356962,-0.011188407225546926,-0.03260786503131336,0.01023105058021951,FALSE,0,,NA,NA,NA,NA,4,tbi_1_4_revised
tbi,TBI vs No TBI,overnight_hospital_stays,Number of overnight hospital stays in the past year,count,RR,4738,1.5072282298681863,1.1812283576126081,1.9231987805499482,0.002440479922254709,0.017083359455782963,0.23689262451383367,0.1571710374178375,0.07972158709599617,0.02271529420633482,0.1367278799856575,FALSE,0,,NA,NA,NA,NA,4,tbi_1_4_revised
